Outcome Date,Animal ID,Name,Outcome Status,Euthanasia Reason,Type,Sex,Spayed/Neutered,Primary Breed,Primary Color,Secondary Color,Date of Birth,Intake Date,Days in Shelter
01/27/2026 12:40:00 PM,20626,Colby,Adopted,,Cat,Female,Yes,Domestic Shorthair,Muted Tortoiseshell,,10/20/2018 12:00:00 AM,01/20/2026 04:12:00 PM,6
01/27/2026 02:41:35 PM,20489,George,Adopted,,Cat,Male,Yes,Domestic Shorthair,Brown Tabby,White,05/15/2023 12:00:00 AM,01/16/2026 06:50:00 PM,10
01/27/2026 03:24:59 PM,20579,Socks,Adopted,,Dog,Male,Yes,American Pit Bull Terrier,Blue,White,01/20/2025 12:00:00 AM,01/20/2026 08:04:00 AM,7
01/27/2026 04:32:04 PM,20503,Tiger*,Adopted,,Puppy,Male,yes,Labrador Retriever,White,,11/09/2025 12:00:00 AM,01/17/2026 12:43:00 PM,10
06/22/2025 06:12:03 PM,8747,Smoke,Adopted,,Dog,Male,Yes,American Pit Bull Terrier,Chocolate,,01/25/2015 12:00:00 AM,06/02/2025 10:44:00 AM,20
01/27/2026 04:38:02 PM,20736,,Adopted,,Kitten,Female,Yes,Domestic Shorthair,Brown Tabby,,11/23/2025 12:00:00 AM,01/23/2026 01:30:00 PM,4
11/21/2025 12:31:00 PM,18005,Angelica,Adopted Unaltered,,Dog,Female,Yes,Labrador Retriever,Tan,White,09/11/2025 12:00:00 AM,11/10/2025 08:13:00 PM,10
01/27/2026 04:53:36 PM,20383,Andromeda,Adopted,,Puppy,Female,Yes,American Pit Bull Terrier,Black,White,11/18/2025 12:00:00 AM,01/13/2026 05:43:00 PM,13
01/27/2026 04:49:37 PM,20504,Mona*,Adopted,,Puppy,Female,yes,Labrador Retriever,White,,11/23/2025 12:00:00 AM,01/17/2026 12:43:00 PM,10
12/06/2025 06:52:00 PM,18512,Moonpie,Adopted Unaltered,,Puppy,Male,Yes,American Pit Bull Terrier,Black Brindle,White,09/24/2025 12:00:00 AM,11/24/2025 12:31:00 PM,12
01/27/2026 04:06:29 PM,20734,,Adopted,,Kitten,Female,Yes,Domestic Shorthair,Calico,,11/23/2025 12:00:00 AM,01/23/2026 01:30:00 PM,4
